xcoord,ycoord,cases,distw1,elevation1,calcium1,pH1,swater1,rainfall1,evi1
-17474.8692,-16051.6172,3,0.051327243,211.4423981,4.440504074,60.70806885,27.74416924,3.943571329,3420.030273
22525.1308,23948.3828,2,0.301763356,200.2685394,3.431980848,55.38087845,25.69338226,6.284298897,4102.47998
22525.1308,-76051.6172,1,0.133339241,190.7013702,4.690742493,52.9276123,27.12755013,5.426884651,4089.028809
42525.1308,-16051.6172,1,0,181.7387085,16.12687302,64.61377716,24.66029739,4.261588097,3239.662354
62525.1308,83948.3828,2,0.283965379,203.2426605,8.681822777,59.03308487,27.95417023,3.870577097,3569.399658
62525.1308,63948.3828,4,0.301878363,202.0133667,7.921291828,59.28097916,27.47035217,4.213180542,3733.963867
62525.1308,-36051.6172,1,0.1322743,171.6120605,11.4152832,59.58843994,24.58767319,4.599095345,4273.134766
62525.1308,-56051.6172,7,0.155778125,194.7202759,6.519382477,56.26074219,29.25056839,5.025431633,4799.588379
62525.1308,-76051.6172,13,0.108593494,210.9072418,5.654424667,55.53949356,25.89360809,4.288259506,4553.513672
62525.1308,-96051.6172,1,0.160406455,213.1559906,6.267098427,54.96619797,24.29628372,4.365784168,4214.15332
82525.1308,83948.3828,5,0.302134037,201.7496643,11.95020008,58.07969666,24.86969757,3.431787491,3118.183838
82525.1308,63948.3828,22,0.287107378,201.576416,13.41445446,59.74119568,24.89044762,3.667182684,3140.231201
82525.1308,43948.3828,3,0.118282281,200.7833099,11.34853649,58.94566727,26.21004677,4.082980633,3890.247314
82525.1308,-36051.6172,19,0.304317296,184.3532257,13.49743176,55.90737915,26.73517227,5.244982243,4801.67334
82525.1308,-56051.6172,2,0.333681136,198.9637451,9.84086132,53.24380493,29.06032181,5.187384605,5599.954102
82525.1308,-76051.6172,2,0.289126933,201.726593,13.47010136,56.15116119,23.09054184,4.497244358,4820.346191
82525.1308,-96051.6172,2,0.312543094,205.8387299,11.57240582,58.50876236,22.46081352,3.735938072,4063.473389
102525.1308,43948.3828,2,0.134382397,234.7702789,15.00967026,58.90534973,25.03866577,3.908684731,3176.159668
122525.1308,83948.3828,1,0.1174822,232.075119,11.73450279,63.58484268,24.34802628,3.545649052,3041.419922
122525.1308,23948.3828,1,0.092888653,253.4094543,14.26326084,58.93720627,27.00322342,4.640541553,4368.864746
122525.1308,-56051.6172,1,0.467214972,250.3373413,10.56387329,56.83450317,30.82394409,4.360925198,4370.379395
142525.1308,-16051.6172,6,0.346744984,246.3010559,13.43727303,60.36495972,26.57486916,3.708344221,3952.582764
142525.1308,-116051.6172,1,0.152446181,210.0946808,16.58842468,65.7521286,28.10440254,2.450625896,2791.558105
162525.1308,63948.3828,1,0.063934758,234.1434174,28.46460152,71.95687103,20.63530731,2.550978899,2262.560547
162525.1308,43948.3828,1,0.071426794,217.7569427,12.46163559,65.48855591,18.81530952,2.601069927,2412.156982
162525.1308,3948.3828,3,0.214795589,209.8226471,21.7988205,70.26117706,28.65134239,2.925688744,2573.543701
162525.1308,-16051.6172,12,0.217413113,206.6494598,15.05308723,65.64103699,29.91435051,2.970221043,3257.728516
162525.1308,-36051.6172,5,0.098235071,226.1665039,16.02787971,65.95441437,30.04488945,3.063379765,3439.674316
